iter	TotalF1:average=Macro	MultiClass
0	0.620470483	1.058441285
1	0.6278155046	1.023698372
2	0.6474460794	0.9905151491
3	0.662817682	0.96584191
4	0.6806425998	0.9407265646
5	0.6695186208	0.9189656463
6	0.6792806368	0.9015618362
7	0.6768333609	0.8828391533
8	0.6826841674	0.8663250545
9	0.6947259866	0.8521405344
10	0.6955184924	0.8373270089
11	0.6917235902	0.8239599709
12	0.6976451813	0.8127042372
13	0.703169933	0.8000716038
14	0.6991944845	0.7897996421
15	0.7072242012	0.7799644005
16	0.7051405466	0.7707573042
17	0.7069172995	0.7615039149
18	0.7086695729	0.7531305517
19	0.7123791096	0.7458169861
20	0.7153553435	0.7379069428
21	0.7174622004	0.7297328988
22	0.7148562133	0.7225733762
23	0.7177056013	0.716818709
24	0.7217085024	0.7119524492
25	0.7233692654	0.705444073
26	0.7213651658	0.697674558
27	0.7213651658	0.6911946868
28	0.7264836256	0.6861532245
29	0.7251639571	0.681572843
30	0.7258384849	0.6759011487
31	0.7326920796	0.6700838444
32	0.7317103524	0.6646139655
33	0.731490509	0.6597367084
34	0.7326681598	0.6553266642
35	0.7351215133	0.6514839449
36	0.7354052266	0.6476615196
37	0.7404496118	0.6436644541
38	0.7422104559	0.6384411387
39	0.74469975	0.6349203132
40	0.7464729577	0.63127051
41	0.7500369096	0.62797586
42	0.7517018265	0.6242243135
43	0.7483225101	0.6204534568
44	0.7509783086	0.6169909641
45	0.7517671092	0.6147095616
46	0.751687871	0.611325985
47	0.7537346805	0.6087951153
48	0.7566940378	0.6050809104
49	0.7566319486	0.6027242727
50	0.7567844252	0.600390955
51	0.7598813772	0.5979682178
52	0.7578325543	0.594849754
53	0.7578325543	0.5929245645
54	0.7600178761	0.5901737029
55	0.7581092329	0.5876172821
56	0.7610714612	0.5857680878
57	0.7586034529	0.5832167898
58	0.7606546739	0.5791205649
59	0.7633878058	0.5767365201
60	0.762907058	0.5743290053
61	0.7670647306	0.5710467802
62	0.7689827347	0.5690088077
63	0.7686202088	0.567022025
64	0.7686904262	0.5640608328
65	0.76847477	0.5628231889
66	0.7693019469	0.5610432492
67	0.7704507338	0.5586422743
68	0.7715264492	0.5569868254
69	0.7727525007	0.5544061282
70	0.7750911875	0.5524200292
71	0.7750911875	0.55147414
72	0.7750911875	0.5496333905
73	0.7768029666	0.5484698069
74	0.7773575978	0.5471250856
75	0.7768029666	0.5452693873
76	0.7763536457	0.5430119984
77	0.7791035219	0.5401880289
78	0.7799603235	0.5383499775
79	0.7797396513	0.5359818109
80	0.7817606999	0.5337667876
81	0.7808189559	0.5321579162
82	0.7845864561	0.5303846808
83	0.7843552959	0.5281478147
84	0.7857699092	0.5267266819
85	0.7857699092	0.5255885905
86	0.7869671788	0.5227886366
87	0.7871297377	0.5204175529
88	0.7876749158	0.5191369994
89	0.787283762	0.5165813317
90	0.7891701117	0.5140414805
91	0.7901212602	0.5115523105
92	0.7918388629	0.509802172
93	0.7917653233	0.5088370379
94	0.7921521427	0.5069149876
95	0.7918619694	0.5051771421
96	0.7931890954	0.5040391051
97	0.796634224	0.5019345378
98	0.8008069713	0.5005067357
99	0.8001690395	0.498645443
100	0.8047496989	0.4960615224
101	0.8055589521	0.4934077676
102	0.8077815215	0.4914423275
103	0.8105347985	0.4890699036
104	0.8141630887	0.4874901425
105	0.8133806418	0.486166112
106	0.8147321003	0.4846730331
107	0.8139490376	0.4829073959
108	0.8137853221	0.4798951452
109	0.8168892551	0.4781761512
110	0.8133951633	0.4767489694
111	0.8154431271	0.4748872238
112	0.8161534027	0.4734446601
113	0.8167940703	0.4719494489
114	0.8157898221	0.4695759771
115	0.8186203206	0.4673313688
116	0.8221922596	0.4653072019
117	0.8221922596	0.4637057121
118	0.8230745659	0.4622809461
119	0.8243077457	0.4606110269
120	0.8274448953	0.4593443711
121	0.8267342069	0.4578292059
122	0.8263921825	0.456205023
123	0.8275215304	0.4550921167
124	0.8296321825	0.4536345641
125	0.8335609218	0.4520949638
126	0.8324550592	0.4502506964
127	0.8350291215	0.4491278271
128	0.8329167091	0.4477353536
129	0.8346996677	0.4460737434
130	0.8347687349	0.4450320143
131	0.8335714262	0.4433795905
132	0.837573373	0.4419711191
133	0.8399357939	0.4407841403
134	0.8410286901	0.4387195128
135	0.8444405121	0.4372361099
136	0.8464396257	0.4359018779
137	0.8488488825	0.4342343222
138	0.8481408293	0.4329174872
139	0.8504818695	0.4314230026
140	0.8543697711	0.4297406963
141	0.8529535768	0.4282614705
142	0.8511301088	0.4270430081
143	0.8530564042	0.4253537416
144	0.8536620366	0.424738222
145	0.8530133642	0.4236187398
146	0.8530723879	0.4223201966
147	0.8530133642	0.4211501595
148	0.8537646068	0.4196535738
149	0.8577817159	0.4181136427
150	0.8590000819	0.4169572707
151	0.8595974305	0.4162794242
152	0.8609039123	0.4149996239
153	0.8610126655	0.4134114
154	0.8646262892	0.4112944823
155	0.8625331918	0.4091906495
156	0.8640816269	0.4071046037
157	0.8654972746	0.4056305226
158	0.8647905547	0.4046039314
159	0.8647905547	0.4036410055
160	0.8680989793	0.4019329997
161	0.8691036134	0.4013430732
162	0.8675529788	0.4003383009
163	0.8687581215	0.3995632782
164	0.8675529788	0.3984919506
165	0.8693041221	0.397222274
166	0.8686487412	0.3957642867
167	0.8694143375	0.3948223334
168	0.8718365526	0.393468144
169	0.8714551842	0.3925124424
170	0.8727361255	0.3909796694
171	0.8714551842	0.3899436856
172	0.8754340832	0.3883196681
173	0.8759805313	0.3867303325
174	0.8762713316	0.3857264705
175	0.8756157635	0.3849062985
176	0.8772272293	0.3836514061
177	0.8777394558	0.3823833575
178	0.8783955082	0.3808763847
179	0.8792105041	0.3796832172
180	0.8814757422	0.378811323
