iter	Passed	Remaining
0	1	1269
1	2	1163
2	3	1108
3	4	1081
4	5	1055
5	6	1036
6	7	1035
7	8	1038
8	9	1037
9	10	1062
10	11	1063
11	12	1066
12	14	1067
13	15	1066
14	16	1062
15	17	1064
16	18	1068
17	19	1073
18	20	1075
19	21	1074
20	22	1071
21	24	1081
22	25	1084
23	26	1083
24	27	1082
25	28	1081
26	30	1085
27	31	1085
28	32	1085
29	33	1083
30	34	1085
31	35	1086
32	37	1087
33	38	1087
34	39	1083
35	40	1087
36	41	1087
37	42	1086
38	44	1086
39	45	1084
40	46	1084
41	47	1085
42	48	1084
43	49	1083
44	50	1078
45	52	1081
46	53	1081
47	54	1081
48	55	1080
49	56	1079
50	58	1081
51	59	1081
52	60	1081
53	61	1077
54	62	1077
55	63	1077
56	65	1076
57	66	1074
58	67	1073
59	68	1074
60	69	1073
61	70	1073
62	71	1070
63	72	1067
64	74	1064
65	75	1064
66	76	1064
67	77	1063
68	78	1061
69	79	1059
70	80	1056
71	82	1056
72	83	1056
73	84	1055
74	85	1053
75	86	1051
76	87	1051
77	89	1052
78	90	1051
79	91	1050
80	92	1048
81	93	1048
82	94	1047
83	96	1047
84	97	1046
85	98	1045
86	99	1045
87	100	1044
88	101	1042
89	102	1040
90	104	1040
91	105	1041
92	106	1040
93	107	1037
94	108	1034
95	109	1032
96	110	1033
97	112	1032
98	113	1031
99	114	1030
100	115	1028
101	116	1028
102	118	1028
103	119	1027
104	120	1024
105	121	1022
106	122	1020
107	123	1019
108	124	1017
109	125	1017
110	126	1016
111	127	1014
112	129	1012
113	130	1011
114	131	1011
115	132	1010
116	133	1009
117	134	1006
118	135	1004
119	136	1002
120	137	1002
121	139	1001
122	140	1000
123	141	999
124	142	997
125	143	996
126	145	997
127	146	997
128	147	997
129	149	997
130	150	1000
131	152	1000
132	153	1001
133	154	1000
134	156	1000
135	157	999
136	158	998
137	159	997
138	160	997
139	162	996
140	163	995
141	164	995
142	166	995
143	167	994
144	168	993
145	169	993
146	171	992
147	172	991
148	173	990
149	174	989
150	175	987
151	176	985
152	177	985
153	179	984
154	180	983
155	181	981
156	182	979
157	183	978
158	184	977
159	185	976
160	187	975
161	188	973
162	189	971
163	190	969
164	191	967
165	192	967
166	193	966
167	194	965
168	195	963
169	197	962
170	198	961
171	199	960
172	200	959
173	201	957
174	203	957
175	204	956
176	205	955
177	206	953
178	207	953
179	208	951
180	210	950
181	211	949
182	212	947
183	213	946
184	214	945
185	215	944
186	216	942
187	217	941
188	219	939
189	220	938
190	221	937
191	222	936
192	223	935
193	224	933
194	225	932
195	227	931
196	228	930
197	229	928
198	230	927
199	231	926
200	232	924
201	233	923
202	235	922
203	236	921
204	237	920
205	238	918
206	239	916
207	240	915
208	241	914
209	242	913
210	244	912
211	245	910
212	246	910
213	247	909
214	248	908
215	249	906
216	250	904
217	251	903
218	252	901
219	254	900
220	255	899
221	256	898
222	257	897
223	258	895
224	259	894
225	261	894
226	262	892
227	263	891
228	264	889
229	265	888
230	266	886
231	267	885
232	268	884
233	269	883
234	270	882
235	272	880
236	273	880
237	274	879
238	275	878
239	276	876
240	278	875
241	279	874
242	280	873
243	281	872
244	282	871
245	283	870
246	285	869
247	286	868
248	287	866
249	288	866
250	289	864
251	291	863
252	292	862
253	293	861
254	294	860
255	295	858
256	296	857
257	297	856
258	299	855
259	300	854
260	301	853
261	302	852
262	303	850
263	304	849
264	305	847
265	306	846
266	307	844
267	308	842
268	309	841
269	310	839
270	311	838
271	313	837
272	314	836
273	315	835
274	316	834
275	317	833
276	318	832
277	320	831
278	321	829
279	322	828
280	323	827
281	324	826
282	325	825
283	326	824
284	327	822
285	329	822
286	330	821
287	331	819
288	332	818
289	333	816
290	334	816
291	336	815
292	337	813
293	338	812
294	339	811
295	340	810
296	341	809
297	343	808
298	344	806
299	345	805
300	346	804
301	347	803
302	348	802
303	349	801
304	350	799
305	351	798
306	353	797
307	354	796
308	355	795
309	356	793
310	357	792
311	358	791
312	360	790
313	361	789
314	362	788
315	363	786
316	364	785
317	365	784
318	366	783
319	368	782
